{'key': -566477977, 'coor': (Decimal('41.5439995'), Decimal('2.190163'))}
{'key': -4583631287, 'coor': (Decimal('41.4968081'), Decimal('2.112634'))}
{'key': -428005803, 'coor': (Decimal('41.5552082'), Decimal('2.2274127'))}
{'key': -311534944, 'coor': (Decimal('41.5638671'), Decimal('2.2388259'))}
{'key': -6257877788, 'coor': (Decimal('41.7480484'), Decimal('2.6246741'))}
{'key': -6257877788, 'coor': (Decimal('41.7480484'), Decimal('2.6246741'))}
{'key': -6286205167, 'coor': (Decimal('41.5751388'), Decimal('2.2616643'))}
{'key': -452914678, 'coor': (Decimal('41.7812208'), Decimal('2.7589137'))}
{'key': -452914678, 'coor': (Decimal('41.7812208'), Decimal('2.7589137'))}
{'key': -3614514664, 'coor': (Decimal('41.8209362'), Decimal('2.6743744'))}
{'key': -3633340986, 'coor': (Decimal('41.5935523'), Decimal('2.3116089'))}
{'key': -428005803, 'coor': (Decimal('41.5552082'), Decimal('2.2274127'))}
{'key': -1072792264, 'coor': (Decimal('41.6917784'), Decimal('1.3422164'))}
{'key': -1072792264, 'coor': (Decimal('41.6917784'), Decimal('1.3422164'))}
{'key': -1072792264, 'coor': (Decimal('41.6917784'), Decimal('1.3422164'))}
{'key': -1277663204, 'coor': (Decimal('41.465291'), Decimal('2.2371631'))}
{'key': -323735441, 'coor': (Decimal('41.5499879'), Decimal('2.2165416'))}
{'key': -394566859, 'coor': (Decimal('41.5471246'), Decimal('2.4136573'))}
{'key': -1277663204, 'coor': (Decimal('41.465291'), Decimal('2.2371631'))}
{'key': -476983158, 'coor': (Decimal('41.4655806'), Decimal('2.2376814'))}
{'key': -476983158, 'coor': (Decimal('41.4655806'), Decimal('2.2376814'))}
{'key': -394566714, 'coor': (Decimal('41.5456807'), Decimal('2.4152152'))}
{'key': -868515524, 'coor': (Decimal('41.5906632'), Decimal('2.2755404'))}
{'key': -656894900, 'coor': (Decimal('41.59074'), Decimal('2.2744927'))}
{'key': -868515524, 'coor': (Decimal('41.5906632'), Decimal('2.2755404'))}
{'key': -868515524, 'coor': (Decimal('41.5906632'), Decimal('2.2755404'))}
{'key': -394566859, 'coor': (Decimal('41.5471246'), Decimal('2.4136573'))}
{'key': -2360678944, 'coor': (Decimal('41.5611529'), Decimal('2.337587'))}
{'key': -3072390998, 'coor': (Decimal('41.5373334'), Decimal('2.2005344'))}
{'key': -3872554370, 'coor': (Decimal('41.4739653'), Decimal('2.0349431'))}
{'key': -660604970, 'coor': (Decimal('41.4732032'), Decimal('2.0342854'))}
{'key': -3872554370, 'coor': (Decimal('41.4739653'), Decimal('2.0349431'))}
{'key': -3872554370, 'coor': (Decimal('41.4739653'), Decimal('2.0349431'))}
{'key': -3872554370, 'coor': (Decimal('41.4739653'), Decimal('2.0349431'))}
{'key': -2386571676, 'coor': (Decimal('41.646533'), Decimal('2.457188'))}
{'key': -5136957561, 'coor': (Decimal('41.6952395'), Decimal('2.5069278'))}
{'key': -2386571676, 'coor': (Decimal('41.646533'), Decimal('2.457188'))}
{'key': -440241429, 'coor': (Decimal('41.4629908'), Decimal('2.2092083'))}
{'key': -440241429, 'coor': (Decimal('41.4629908'), Decimal('2.2092083'))}
{'key': -440241429, 'coor': (Decimal('41.4629908'), Decimal('2.2092083'))}
{'key': -885325448, 'coor': (Decimal('41.3229648'), Decimal('2.0346918'))}
{'key': -386585853, 'coor': (Decimal('41.354797'), Decimal('1.7047957'))}
{'key': -3974649494, 'coor': (Decimal('41.3567949'), Decimal('2.0676868'))}
{'key': -509808944, 'coor': (Decimal('41.3563679'), Decimal('2.0697999'))}
{'key': -211257860, 'coor': (Decimal('41.3005885'), Decimal('1.9899429'))}
{'key': -4568961103, 'coor': (Decimal('41.3004952'), Decimal('1.9904231'))}
{'key': -4568961103, 'coor': (Decimal('41.3004952'), Decimal('1.9904231'))}
{'key': -963230964, 'coor': (Decimal('41.3701829'), Decimal('2.106479'))}
{'key': -875784432, 'coor': (Decimal('41.476196'), Decimal('1.9157164'))}
{'key': -391811303, 'coor': (Decimal('41.4769317'), Decimal('1.9156599'))}
{'key': -386585853, 'coor': (Decimal('41.354797'), Decimal('1.7047957'))}
{'key': -2981323496, 'coor': (Decimal('41.317192'), Decimal('2.0816725'))}
{'key': -243496740, 'coor': (Decimal('41.321899'), Decimal('2.0357885'))}
{'key': -1376653694, 'coor': (Decimal('41.4018391'), Decimal('2.0284429'))}
{'key': -1375669404, 'coor': (Decimal('41.3882553'), Decimal('2.0434687'))}
{'key': -395310384, 'coor': (Decimal('41.3548428'), Decimal('1.705088'))}
{'key': -1162512631, 'coor': (Decimal('41.226708'), Decimal('1.7138555'))}
{'key': -728705280, 'coor': (Decimal('41.3228824'), Decimal('2.034605'))}
{'key': -1171051211, 'coor': (Decimal('41.2745541'), Decimal('1.9135924'))}
{'key': -1397773231, 'coor': (Decimal('41.489373'), Decimal('2.0588274'))}
{'key': -721207662, 'coor': (Decimal('41.311899'), Decimal('1.3611706'))}
{'key': -721207662, 'coor': (Decimal('41.311899'), Decimal('1.3611706'))}
{'key': -721207662, 'coor': (Decimal('41.311899'), Decimal('1.3611706'))}
{'key': -384320106, 'coor': (Decimal('41.2247953'), Decimal('1.544062'))}
{'key': -384320106, 'coor': (Decimal('41.2247953'), Decimal('1.544062'))}
{'key': -384320106, 'coor': (Decimal('41.2247953'), Decimal('1.544062'))}
{'key': -721207662, 'coor': (Decimal('41.311899'), Decimal('1.3611706'))}
{'key': -15925639, 'coor': (Decimal('41.4657163'), Decimal('1.9145394'))}
